,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu (v příslušném písmu),Údaje o odpovědnosti a další informace,Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Překladatel/ka,Zdroj či odkaz,Volná poznámka,tecnická poznámka
148,149,část knihy,145.0,celé dílo ,překlad,,,Poesie tipografiche,,Antikódy,ita ,cze,,,,,,,,,,,,
149,150,kniha,,celé dílo ,překlad,,"Havel, Václav (jk01040240)",Uscire di scena,,Odcházení,ita ,cze,,,Udine (Itálie) : Forum,,,80.0,2010.0,,"Cosentino, Annalisa",http://id.sbn.it/bid/VEA1038357,,
150,151,kniha,,celé dílo ,překlad,,"Havel, Václav (jk01040240)",Il potere dei senza potere,Prefazione di Marta Cartabia,Moc bezmocných,ita ,cze,,,Milano (Itálie) : Itaca,,,199.0,2013.0,978-88-526-0332-7,"Tartagni, Antonietta",http://id.sbn.it/bid/PBE0043464,,
151,152,kniha,,celé dílo ,překlad,,"Havel, Václav (jk01040240)",Un uomo al Castello : Intervista con Karel Hvížďala. Fogli di diario e appunti,Note e postfazione di Angelo Bonaguro,"Prosím, stručně",ita ,cze,,,Treviso (Itálie) : Santi Quaranta,,,366.0,2007.0,978-88-86496-82-7,"Zlatohlávková, Ines",http://id.sbn.it/bid/TSA1015412,,
152,153,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Inserzione per una casa in cui non vohlio più abitare,Introduzione di Angelo Maria Ripellino,"Inzerát na dům, ve kterém už nechci bydlet",ita ,cze,,,"
Torino (Itálie) : Einaudi",,,147.0,1968.0,88-06-59370-6,"Ripellino, Ela",http://id.sbn.it/bid/CFI0056717,,
153,154,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Treni strettamente sorvegliati,Illustrazioni di Aleš Jiránek,Ostře sledované vlaky,ita ,cze,,,Roma (Itálie) : E/O,,,,1982.0,88-7641-002-1,"Corduas, Sergio",http://id.sbn.it/bid/VIA0450611,,
154,155,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Ho servito il re d'Inghilterra,,Obsluhoval jsem anglického krále,ita ,cze,,,Roma (Itálie) : E/O,,,237.0,1986.0,88-7641-035-X,"Dierna, Giuseppe",http://id.sbn.it/bid/CFI0017598,,
155,156,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Una solitudine troppo rumorosa,,Kluby poezie,ita ,cze,,,"
Torino (Itálie) : Einaudi",,,118.0,1987.0,"
88-06-59543-1","Corduas, Sergio",http://id.sbn.it/bid/CFI0073180,,
156,157,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",La tonsura,Collages di Giuseppe Dierna,Postřižiny,ita ,cze,,,Roma (Itálie) : E/O,,,154.0,1987.0,"
88-7641-054-6","Dierna, Giuseppe",http://id.sbn.it/bid/CFI0107005,,
157,158,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",L'uragano di novembre,,Listopadový uragán,ita ,cze,,,Roma (Itálie) : E/O,,,219.0,1991.0,88-7641-101-1,"Kláda, Bartholomew Isaac",http://id.sbn.it/bid/CFI0200074,,
158,159,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Le nozze in casa : romanzetto femminile,A cura di Sergio Corduas,Svatby v domě,ita ,cze,,,Torino (Itálie) : Einaudi,,,227.0,1992.0,88-06-12642-3,"Trevisan, Alessandra",http://id.sbn.it/bid/VEA1323947,,
159,160,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",La cittadina dove il tempo si è fermato,Postfazione di Annalisa Cosentino,"Městečko, kde se zastavil čas",ita ,cze,,,Roma (Itálie) : E/O,,,156.0,1992.0,88-7641-142-9,"Cosentino, Annalisa",http://id.sbn.it/bid/LO10100986,,
160,161,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Un tenero barbaro,,Něžný barbar,ita ,cze,,,Roma (Itálie) : E/O,,,130.0,1994.0,88-7641-209-3,"Cosentino, Annalisa",http://id.sbn.it/bid/RAV0234972,,
161,162,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Paure totali,,Ponorné říčky,ita ,cze,,,Roma (Itálie) : E/O,,,124.0,1995.0,"
88-7641-261-1","Massimi, Dario",http://id.sbn.it/bid/RAV0262398,,
162,163,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Dribbling stretti ovvero Nodi al fazzoletto : Romanzo-Intervista,Domande e risposte annotate da Laszlo Szigeti,Kličky na kapesníku,ita ,cze,,,Milano (Itálie) : Sapeins,,,174.0,1995.0,,"Ripellino, Ela-Hlochová § Dierna, Giuseppe",http://id.sbn.it/bid/FER0163339,,
163,164,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Lezioni di ballo per anziani e progrediti,,Taneční hodiny pro starší a pokročilé,ita ,cze,,,Torino (Itálie) : Einaudi,,,107.0,2018.0,,"Dierna, Giuseppe",http://id.sbn.it/bid/PUV1490637,,
164,165,kniha,,souborné dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Spaccone dell'infinito,Tutte le foto riprodotte all'interno sono di Pavel Štoll,Originál neexistuje,ita ,cze,,,Venezia (Itálie) : Hestia,,,42.0,1997.0,,"Cosentino, Annalisa § Brignole, Francesco § Schnöblingová, Zuzana  § Mastero, Alexandra Vlada § Corduas, Sergio",http://id.sbn.it/bid/RMS0052420,,
165,166,část knihy,165.0,celé dílo ,překlad,,,Il manuale di apprendista sbruffone,,Rukověť pábitelského učně,ita ,cze,,,,,,,,,"Cosentino, Annalisa",,,
166,167,část knihy,165.0,,překlad,,,La grande vita,,Veliký život,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
167,168,část knihy,165.0,celé dílo ,překlad,,,"Hrabal, il tenero barbaro","Dal video ""Bohumil Hrabal: un tendre barbare"" di Christophe Calleau, FR3, 1991. A cura di Gaia Guarienti e Laura Brena.",Originál neznámý,ita ,cze,,,,,,,,,"Schnöblingová, Zuzana  § Mastero, Alexandra Vlada",,,
168,169,část knihy,165.0,,překlad,,,L'ironia praghese,Intervista di Sergio Corduas. ,Originál neznámý,ita ,cze,,,,,,,,,"Corduas, Sergio",,,
169,170,část knihy,165.0,celé dílo ,překlad,,,Notizia sull'autopista del mio stesso cadavere,,Zpráva o pitvě vlastní mrtvoly,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
170,171,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Sanguinose ballate e miracolose leggende,,Morytáty a legendy,ita ,cze,,,Roma (Itálie) : E/O,,,217.0,1998.0,88-7641-367-7,"Cosentino, Annalisa",http://id.sbn.it/bid/VIA0071814,,
171,172,kniha,,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Spazi vuoti : ottobre-novembre-dicembre 1985,,Proluky,ita ,cze,,,Torino (Itálie) : Einaudi,,,226.0,2010.0,978-88-06-19353-9,"Dierna, Giuseppe",http://id.sbn.it/bid/RT10003778,,
172,173,kniha,,celé dílo ,překlad,,"Kundera, Milan",Lo scherzo,Prefazione di Louis Aragon,Žert,ita ,cze,,,Milano (Itálie) : A. Mondadori,,,345.0,1969.0,,"Bongiorno, Arrigo",http://id.sbn.it/bid/AQ10108961,,
173,174,kniha,,souborné dílo,překlad,,"Kundera, Milan",Amori ridicoli,,Směšné lásky,ita ,cze,,,Milano (Itálie) : Adelphi,,,250.0,1988.0,,"Barbato, Antonio",http://id.sbn.it/bid/MOD0037225,,
174,175,část knihy,174.0,celé dílo ,překlad,,,Nessuno riderà,,Nikdo se nebude smát,ita ,cze,,,,,,,,,,,,
175,176,část knihy,174.0,celé dílo ,překlad,,,La mela d'oro dell'eterno desiderio,,Zlaté jablko věčné touhy,ita ,cze,,,,,,,,,,,,
176,177,část knihy,174.0,celé dílo ,překlad,,,Il falso autostop,,Falešný autostop,ita ,cze,,,,,,,,,,,,
177,178,část knihy,174.0,celé dílo ,překlad,,,Il simposio,,Symposion,ita ,cze,,,,,,,,,,,,
178,179,část knihy,174.0,celé dílo ,překlad,,,Che i vecchi morti cedano il posto ai giovani morti ,,Ať ustoupí staří mrtví mladým mrtvým,ita ,cze,,,,,,,,,,,,
179,180,část knihy,174.0,celé dílo ,překlad,,,Il dottor Havel vent'anni dopo,,Doktor Havel po dvaceti letech,ita ,cze,,,,,,,,,,,,
180,181,část knihy,174.0,celé dílo ,překlad,,,Eduard e Dio,,Eduard a Bůh,ita ,cze,,,,,,,,,,,,
181,182,kniha,,celé dílo ,překlad,,"Kundera, Milan (jk01070894)",La vita è altrove,,Život je jinde,ita ,cze,,,Milano (Itálie) : A. Mondadori,,,281.0,1976.0,,"Vitale, Serena",http://id.sbn.it/bid/PUV0229819,,
182,183,kniha,,celé dílo ,překlad,,"Kundera, Milan (jk01070894)",Il valzer degli addii,,Valčík na rozloučenou,ita ,cze,,,Milano (Itálie) : Adelphi,,,246.0,1989.0,,"Vitale, Serena",http://id.sbn.it/bid/PUV0836359,,
183,184,kniha,,souborné dílo,překlad,,"Kundera, Milan (jk01070894)",Il libro del riso e dell’oblio,,Kniha smíchu a zapomnění,ita ,cze,,,Milano (Itálie) : Bompiani,,,243.0,1985.0,,"Vitale, Serena",http://id.sbn.it/bid/RLZ0273663,,
184,185,část knihy,184.0,celé dílo ,překlad,,,Parte prima : le lettere perdute,,Ztracené dopisy,ita ,cze,,,,,,,,,,,,
185,186,část knihy,184.0,celé dílo ,překlad,,,Parte seconda : la madre,,Maminka,ita ,cze,,,,,,,,,,,,
186,187,část knihy,184.0,celé dílo ,překlad,,,Parte terza : gli angeli,,Originál neznámý,ita ,cze,,,,,,,,,,,,
187,188,část knihy,184.0,celé dílo ,překlad,,,Parte quarta : le lettere perdute,,Originál neznámý,ita ,cze,,,,,,,,,,,,
188,189,část knihy,184.0,celé dílo ,překlad,,,Parte quinta : lítost,,Lítost,ita ,cze,,,,,,,,,,,,
189,190,část knihy,184.0,celé dílo ,překlad,,,Parte sesta : gli angeli,,Andělé,ita ,cze,,,,,,,,,,,,
190,191,část knihy,184.0,celé dílo ,překlad,,,Parte settima : la frontiera,,Hranice,ita ,cze,,,,,,,,,,,,
191,192,kniha,,celé dílo ,překlad,,"Kundera, Milan (jk01070894)",L'insostenibile leggerezza dell'essere,,Nesnesitelná lehkost bytí,ita ,cze,,,Milano (Itálie) : Adelphi,,,318.0,1985.0,,"Barbato, Antonio",http://id.sbn.it/bid/IEI0619748,,
192,193,kniha,,celé dílo ,překlad,,"Kundera, Milan (jk01070894)",L'immortalità,,Nesmrtelnost,ita ,cze,,,Milano (Itálie) : CDE,,,296.0,1990.0,,"Mura, Alessandra",http://id.sbn.it/bid/CFI0246857,,
193,194,kniha,,celé dílo ,překlad,,"Kundera, Milan (jk01070894)",Jacques e il suo padrone : omaggio a Denis Diderot in tre atti,,Jakub a jeho pán : pocta Diderotovi ve třech dějstvích,ita ,cze,,,Milano (Itálie) : Adelphi,,,112.0,1993.0,88-459-0956-5,"Mura, Alessandra",http://id.sbn.it/bid/LO10320714,,
194,195,kniha,,souborné dílo,překlad,,"Nezval, Vítězslav (jk01090162)",La donna al plurale ,,Žena v množném čísle ,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,215.0,2002.0,88-06-13914-2,"Dierna, Giuseppe",http://id.sbn.it/bid/VIA0094962,,
195,196,část knihy,195.0,celé dílo ,překlad,,,La donna al plurale ,,Žena v množném čísle ,ita ,cze,,,,,,,,,,,,
196,197,část knihy,195.0,celé dílo ,překlad,,,Cantico dei cantici,,Píseň písní,ita ,cze,,,,,,,,,,,,
197,198,část knihy,195.0,celé dílo ,překlad,,,Camicie,,Košila,ita ,cze,,,,,,,,,,,,
198,199,část knihy,195.0,celé dílo ,překlad,,,La meteora,,Meteor,ita ,cze,,,,,,,,,,,,
199,200,část knihy,195.0,celé dílo ,překlad,,,Donne di periferia,,Ženy z předměstí ,ita ,cze,,,,,,,,,,,,
200,201,část knihy,195.0,celé dílo ,překlad,,,Memoria,,Paměť,ita ,cze,,,,,,,,,,,,
201,202,část knihy,195.0,celé dílo ,překlad,,,L'ombra del corsetto,,Stín korsetu,ita ,cze,,,,,,,,,,,,
202,203,část knihy,195.0,celé dílo ,překlad,,,Il duello,,Souboj,ita ,cze,,,,,,,,,,,,
203,204,část knihy,195.0,celé dílo ,překlad,,,Donne dopo il bagno,,Ženy po koupeli ,ita ,cze,,,,,,,,,,,,
204,205,část knihy,195.0,celé dílo ,překlad,,,Fantasmi,,Fantomy,ita ,cze,,,,,,,,,,,,
205,206,část knihy,195.0,celé dílo ,překlad,,,Profezia,,Věštba,ita ,cze,,,,,,,,,,,,
206,207,část knihy,195.0,celé dílo ,překlad,,,Vetrine,,Výkladní skříně,ita ,cze,,,,,,,,,,,,
207,208,část knihy,195.0,celé dílo ,překlad,,,A una giovane fanciulla,,Malé dívce,ita ,cze,,,,,,,,,,,,
208,209,část knihy,195.0,celé dílo ,překlad,,,Verginità,,Panenství ,ita ,cze,,,,,,,,,,,,
209,210,část knihy,195.0,celé dílo ,překlad,,,Litania,,Litanie,ita ,cze,,,,,,,,,,,,
210,211,část knihy,195.0,celé dílo ,překlad,,,Natura,,Příroda,ita ,cze,,,,,,,,,,,,
211,212,část knihy,195.0,celé dílo ,překlad,,,Una pagina di dirario,,Originál neznámý,ita ,cze,,,,,,,,,,,,
212,213,část knihy,195.0,celé dílo ,překlad,,,Pomeriggio senza memoria,,Originál neznámý,ita ,cze,,,,,,,,,,,,
213,214,část knihy,195.0,celé dílo ,překlad,,,Spermentazione surrealista,,Originál neznámý,ita ,cze,,,,,,,,,,,,
214,215,část knihy,195.0,celé dílo ,překlad,,,Perché sono surrealista,,Proč jsem surrealista,ita ,cze,,,,,,,,,,,,
215,216,část knihy,195.0,celé dílo ,překlad,,,Gioco surrealista,,Surrealistická hra,ita ,cze,,,,,,,,,,,,
216,217,část knihy,195.0,celé dílo ,překlad,,,Testo automatico,,Automatický text,ita ,cze,,,,,,,,,,,,
217,218,část knihy,195.0,celé dílo ,překlad,,,La lotta per il veggente,,Boj za vidoucího člověka,ita ,cze,,,,,,,,,,,,
218,219,část knihy,195.0,celé dílo ,překlad,,,Il ponte della giostra,,Most kolotoče,ita ,cze,,,,,,,,,,,,
219,220,část knihy,195.0,celé dílo ,překlad,,,Botole ,,Propadliště,ita ,cze,,,,,,,,,,,,
220,221,část knihy,195.0,celé dílo ,překlad,,,Gli elementi,,Živly ,ita ,cze,,,,,,,,,,,,
221,222,část knihy,195.0,celé dílo ,překlad,,,Lampeggiamenti ,,Blýskavice,ita ,cze,,,,,,,,,,,,
222,223,část knihy,195.0,celé dílo ,překlad,,,Merlino,,Merlin,ita ,cze,,,,,,,,,,,,
223,224,část knihy,195.0,celé dílo ,překlad,,,Città buia,,Temné město,ita ,cze,,,,,,,,,,,,
224,225,část knihy,195.0,celé dílo ,překlad,,,Fra i denti dei giorni,,Mezi zuby dní,ita ,cze,,,,,,,,,,,,
225,226,část knihy,195.0,celé dílo ,překlad,,,Il talismano,,Talisman,ita ,cze,,,,,,,,,,,,
226,227,část knihy,195.0,celé dílo ,překlad,,,Nuvole,,Oblaka,ita ,cze,,,,,,,,,,,,
227,228,část knihy,195.0,celé dílo ,překlad,,,Falò autunnali,,Podzimní ohně,ita ,cze,,,,,,,,,,,,
228,229,část knihy,195.0,celé dílo ,překlad,,,Sera di luna,,Měsíční večer,ita ,cze,,,,,,,,,,,,
229,230,část knihy,195.0,celé dílo ,překlad,,,Festa,,Slavnost,ita ,cze,,,,,,,,,,,,
230,231,část knihy,195.0,celé dílo ,překlad,,,Arrivederci,,Na shledanou ,ita ,cze,,,,,,,,,,,,
231,232,část knihy,195.0,celé dílo ,překlad,,,Il segno,,Znamení ,ita ,cze,,,,,,,,,,,,
232,233,část knihy,195.0,celé dílo ,překlad,,,Lo spirito della depravazione,,Duch zkázy ,ita ,cze,,,,,,,,,,,,
233,234,kniha,,celé dílo ,překlad,,"Čapek, Josef (jk01021020)",L' ombra della felce,,"
Stín kapradiny",ita ,cze,,,"
Porto Valtravaglia (Itálie) : Poldi Libri",,,142.0,2007.0, 978-88-902274-2-4,"Sormani, Davide",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990015529100206046,,
234,235,kniha,,souborné dílo,překlad,,"Čapek, Josef (jk01021020)",I racconti sul cagnolino e la gattina : su come vivevano insieme e su molte altre cose ancora,scritti e illustrati per i bambini da Josef Čapek,Povídání o pejskovi a kočičce : jak spolu hospodařili a ještě o všelijakých jiných věcech,ita ,cze,,,,,,,,,,,,
235,236,část knihy,235.0,celé dílo ,,,,Come il cagnolino e la gattina si pulirono il pavimento ,,"O pejskovi a kočičce, jak si myli podlahu",ita ,cze,,,Granze (Itálie) : Poldi Libri,,,109.0,2014.0,9788894034608," Šeböková Vannini, Michaela",http://id.sbn.it/bid/VEA1170582,,
236,237,část knihy,235.0,celé dílo ,překlad,,,Come il cagniolino si strappò i calzoni ,,Jak si pejsek roztrhl kaťata,ita ,cze,,,,,,,,,,,,
237,238,část knihy,235.0,celé dílo ,,,,Che cosa accaddde per il Natale,,Jak to bylo na vánoce,ita ,cze,,,,,,,,,,,,
238,239,část knihy,235.0,celé dílo ,překlad,,,Come il cagnolino e la gattina scrissero la lettera alle bambine di Nymburk,,"O pejskovi a kočičce, jak psali psaní děvčatům do Nymburka",ita ,cze,,,,,,,,,,,,
239,240,část knihy,235.0,celé dílo ,,,,Su un'altezzosa camicia da notte,,O pyšné noční košilce,ita ,cze,,,,,,,,,,,,
240,241,část knihy,235.0,celé dílo ,překlad,,,Come il cagnolino e la gattina fecero la torta per la festa,,Jak si pejsek s kočičkou dělali k svátku dort,ita ,cze,,,,,,,,,,,,
241,242,část knihy,235.0,celé dílo ,,,,Sui bambini di Domažlice,,O klucích z Domažlic,ita ,cze,,,,,,,,,,,,
242,243,část knihy,235.0,celé dílo ,překlad,,,Come trovarono la bambola che piangeva sommessamente,,"Jak našli panenku, která tence plakala",ita ,cze,,,,,,,,,,,,
243,244,část knihy,235.0,celé dílo ,,,,Come fecero il teatro e cosa successe per san Nicola,,Jak hráli divadlo a na Mikuláše co bylo,ita ,cze,,,,,,,,,,,,
244,245,část knihy,235.0,celé dílo ,překlad,,,Come festeggiarono la Festa dell'Indipendenza ,,Jak pejsek s kočičkou slavili 28. říjen,ita ,cze,,,,,,,,,,,,
245,246,kniha,,souborné dílo,překlad,,"Čapek, Josef (jk01021020)",Poesie dal campo di concentramento,,Básně z koncentračního tábora,ita ,cze,,,Torino (Itálie) : Miraggi,,,169.0,2019.0,978-88-338-6027-5,"Fortunato, Lara",http://id.sbn.it/bid/PUV1514020,,
246,247,část knihy,246.0,celé dílo ,překlad,,,Al sonno,,Na spánek,ita ,cze,,,,,,,,,,,,
247,248,část knihy,246.0,celé dílo ,překlad,,,Si fa giorno,,Rozbřesk,ita ,cze,,,,,,,,,,,,
248,249,část knihy,246.0,celé dílo ,překlad,,,La passeggiata dei prigionieri I,,Vězeňská procházka I,ita ,cze,,,,,,,,,,,,
249,250,část knihy,246.0,celé dílo ,překlad,,,Oppresione,,Tíseň,ita ,cze,,,,,,,,,,,,
250,251,část knihy,246.0,celé dílo ,překlad,,,Pazzo,,Šílený,ita ,cze,,,,,,,,,,,,
251,252,část knihy,246.0,celé dílo ,překlad,,,La passeggiata dei prigionieri II,,Vězeňská procházka II,ita ,cze,,,,,,,,,,,,
252,253,část knihy,246.0,celé dílo ,překlad,,,Poeti,,Básníci,ita ,cze,,,,,,,,,,,,
253,254,část knihy,246.0,celé dílo ,překlad,,,Lento si trascina il tempo,,Čas příliš pomalý,ita ,cze,,,,,,,,,,,,
254,255,část knihy,246.0,celé dílo ,překlad,,,Giorno e notte,,Den i noc,ita ,cze,,,,,,,,,,,,
255,256,část knihy,246.0,celé dílo ,překlad,,,Mattino,,Ráno,ita ,cze,,,,,,,,,,,,
256,257,část knihy,246.0,celé dílo ,překlad,,,Di primavera,,Z jara,ita ,cze,,,,,,,,,,,,
257,258,část knihy,246.0,celé dílo ,překlad,,,Il grillo,,Cvrček,ita ,cze,,,,,,,,,,,,
258,259,část knihy,246.0,celé dílo ,překlad,,,Prima della primavera,,V předjaří,ita ,cze,,,,,,,,,,,,
259,260,část knihy,246.0,celé dílo ,překlad,,,Nuvole,,Oblaka,ita ,cze,,,,,,,,,,,,
260,261,část knihy,246.0,celé dílo ,překlad,,,Avanti e indietro,,Sem a tam,ita ,cze,,,,,,,,,,,,
261,262,část knihy,246.0,celé dílo ,překlad,,,Il cantante,,Zpěvák,ita ,cze,,,,,,,,,,,,
262,263,část knihy,246.0,celé dílo ,překlad,,,Versi,,Verše,ita ,cze,,,,,,,,,,,,
263,264,část knihy,246.0,celé dílo ,překlad,,,Su una poesia di Rilke,,K Rilkově básni,ita ,cze,,,,,,,,,,,,
264,265,část knihy,246.0,celé dílo ,překlad,,,Tu,,Ty,ita ,cze,,,,,,,,,,,,
265,266,část knihy,246.0,celé dílo ,překlad,,,I morti di Heinkel,,Mrtví z Heinkel,ita ,cze,,,,,,,,,,,,
266,267,část knihy,246.0,celé dílo ,překlad,,,Un misero,,Zbědovaný,ita ,cze,,,,,,,,,,,,
267,268,část knihy,246.0,celé dílo ,překlad,,,Il quinto anno,,Pátý rok,ita ,cze,,,,,,,,,,,,
268,269,část knihy,246.0,celé dílo ,překlad,,,Cinque anni,,Pět roků,ita ,cze,,,,,,,,,,,,
269,270,část knihy,246.0,celé dílo ,překlad,,,Fine autunno,,Podzimu namále,ita ,cze,,,,,,,,,,,,
270,271,část knihy,246.0,celé dílo ,překlad,,,Di un merletto d'argento,,Stříbrným krajkovým,ita ,cze,,,,,,,,,,,,
271,272,část knihy,246.0,celé dílo ,překlad,,,Di questa infamia ,,Té ohavnosti,ita ,cze,,,,,,,,,,,,
272,273,část knihy,246.0,celé dílo ,překlad,,,Canzone,,Píseň,ita ,cze,,,,,,,,,,,,
273,274,část knihy,246.0,celé dílo ,překlad,,,Dicembre (1944),,Prosinec (1944),ita ,cze,,,,,,,,,,,,
274,275,část knihy,246.0,celé dílo ,překlad,,,prosinec 1944 | dicembre 1944,,Originál nezámý,ita ,cze,,,,,,,,,,,,
275,276,část knihy,246.0,celé dílo ,překlad,,,Al patibolo andava,,Na popraviště šel,ita ,cze,,,,,,,,,,,,
276,277,část knihy,246.0,celé dílo ,překlad,,,Nel dorato splendore,,V zlatavé záři,ita ,cze,,,,,,,,,,,,
277,278,část knihy,246.0,celé dílo ,překlad,,,Bare,,Rakví ,ita ,cze,,,,,,,,,,,,
278,279,část knihy,246.0,celé dílo ,překlad,,,Se dopo la notte,,Byť i po noci,ita ,cze,,,,,,,,,,,,
279,280,část knihy,246.0,celé dílo ,překlad,,,L'ultima neve,,Poslendí sníh,ita ,cze,,,,,,,,,,,,
280,281,část knihy,246.0,celé dílo ,překlad,,,Attesa,,Čekání,ita ,cze,,,,,,,,,,,,
281,282,část knihy,246.0,celé dílo ,překlad,,,Prima del grande viaggio,,Před velkou cestou,ita ,cze,,,,,,,,,,,,
282,283,kniha,,celé dílo,překlad,,"Čapek, Karel (jn19981002512)",L’affare Makropulos,,Věc Makropulos,ita ,cze,,,Milano (Itálie) : Alpes ,,,109.0,1926.0,,"Zulberti, Taulero",http://id.sbn.it/bid/TO00140058,,
283,284,kniha,,celé dílo,překlad,,"Vančura, Vladislav (jk01141424)",Il cavalier bandito e la sposa del cielo , prefazione e nota alla traduzione di Tiziano Marasco,Markéta Lazarová,ita ,cze,,,Granze (Itálie) : Poldi libri,,,191.0,2016.0,978-88-94034-61-5,"Marasco, Tiziano ",http://id.sbn.it/bid/PUV1465227,,
284,285,kniha,,celé dílo,překlad,,"Vančura, Vladislav (jk01141424)",Un'estate capricciosa : romanzo umoristico,,Rozmarné léto,ita ,cze,,,Praha (Česká republika) : Karolinum,,,198.0,2013.0,9788024622507,"Massimi, Dario",http://id.sbn.it/bid/VEA1140261,,
285,286,kniha,,celé dílo,překlad,,"Vančura, Vladislav (jk01141424)",Campi di grano e campi di battaglia,,Pole orná a válečná,ita ,cze,,,Granze (Itálie) : Poldi libri,,,191.0,2016.0,978-88-94034-61-5,"Marasco, Tiziano ",http://id.sbn.it/bid/PUV1465227,,
286,287,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",L'educazione delle ragazze in Boemia,,Výchova dívek v Čechách,ita ,cze,,,Milano (Itálie) : A. Mondadori,,,215.0,1999.0,88-04-46046-6,"Catalano, Alessandro",http://id.sbn.it/bid/TO00775160,,
287,288,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",Quei favolosi anni da cane,,"
Báječná léta pod psa",ita ,cze,,,Milano (Itálie) : A. Mondadori,,,236.0,2001.0,88-04-46047-4,"Catalano, Alessandro",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990002477440206046,,
288,289,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",Il caso dell'infedele Klára,,Případ nevěrné Kláry,ita ,cze,,,Torino (Itálie) : Instar libri,,,183.0,2005.0,88-461-0072-7,"Catalano, Alessandro",http://id.sbn.it/bid/UBO2815365,,
289,290,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",La bio-moglie,,Biomanželka,ita ,cze,,,Roma (Itálie) : Atmosphere,,,174.0,2011.0,978-88-6564-017-3,"Catalano, Alessandro",http://id.sbn.it/bid/UBO3904198,,
290,291,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",Fuori gioco,,Vybíjená,ita ,cze,,,Roma (Itálie) : Atmosphere,,,189.0,2012.0,978-88-6564-038-8,"Catalano, Alessandro",http://id.sbn.it/bid/UBO3973060,,
291,292,článek v časopise,,celé dílo,překlad,,"Čapek, Josef (jk01021020)",Terribile il volto della morta...,,Tvář mrtvé strašná…,ita ,cze,,,Udine (Itálie) : Forum,,Nuova serie : 20,,2013.0,978-88-8420-812-5,"Seminara, Gaia",,,
292,293,kniha,,souborné dílo,překlad,,"Seifert, Jaroslav (jk01110657)",La colonna della peste,,Morový sloup,ita ,cze,,,Roma (Itálie) : E/o,,,121.0,1985.0,88-7641-026-0,"Wildová Tosi, Alena",http://id.sbn.it/bid/RAV0120500,,
293,294,část knihy,293.0,celé dílo,překlad,,,L'urlo degli spettri,,,ita ,cze,,,,,,,,,,,,
294,295,část knihy,293.0,celé dílo,překlad,,,Pellegrinaggio al santurio,,,ita ,cze,,,,,,,,,,,,
295,296,část knihy,293.0,celé dílo,překlad,,,Il giardino del conte Canal,,,ita ,cze,,,,,,,,,,,,
296,297,část knihy,293.0,celé dílo,překlad,,,La colonna della peste,,,ita ,cze,,,,,,,,,,,,
297,298,část knihy,293.0,celé dílo,překlad,,,La giostra con il cigno bianco ,,,ita ,cze,,,,,,,,,,,,
298,299,část knihy,293.0,celé dílo,překlad,,,Epiloghi,,,ita ,cze,,,,,,,,,,,,
299,300,kniha,,souborné dílo,překlad,,"Seifert, Jaroslav (jk01110657)",L' ombrello di Piccadilly e Essere poeta,introduzione di Alena Wildová Tosi ; illustrazioni di Aleš Jiránek,Originál neexistuje,ita ,cze,,,Roma (Itálie) : E/o,,,154.0,1985.0,,"Hlochová Ripellimo, Ela § Leskovjan, Marie § della Seta, Fiammetta",http://id.sbn.it/bid/VIA0009425,,
